gene_stable_id	transcript_stable_id	protein_stable_id	xref_id
ENSMYVG00000000036	ENSMYVT00000000043	ENSMYVP00000000037	GO:0005484
ENSMYVG00000000036	ENSMYVT00000000043	ENSMYVP00000000037	GO:0006886
ENSMYVG00000000036	ENSMYVT00000000043	ENSMYVP00000000037	GO:0016020
ENSMYVG00000000036	ENSMYVT00000000043	ENSMYVP00000000037	GO:0016192
ENSMYVG00000000036	ENSMYVT00000000052	ENSMYVP00000000044	GO:0005484
ENSMYVG00000000036	ENSMYVT00000000052	ENSMYVP00000000044	GO:0006886
ENSMYVG00000000036	ENSMYVT00000000052	ENSMYVP00000000044	GO:0016020
ENSMYVG00000000036	ENSMYVT00000000052	ENSMYVP00000000044	GO:0016192
ENSMYVG00000000038			HGNC:6556
ENSMYVG00000000038	ENSMYVT00000000048	ENSMYVP00000000041	GO:0005509
ENSMYVG00000000038	ENSMYVT00000000048	ENSMYVP00000000041	GO:0005743
ENSMYVG00000000038	ENSMYVT00000000048	ENSMYVP00000000041	GO:0043022
ENSMYVG00000000038	ENSMYVT00000000062	ENSMYVP00000000054	GO:0005509
ENSMYVG00000000038	ENSMYVT00000000062	ENSMYVP00000000054	GO:0005743
ENSMYVG00000000038	ENSMYVT00000000062	ENSMYVP00000000054	GO:0043022
ENSMYVG00000000041	ENSMYVT00000000047	ENSMYVP00000000040	GO:0005515
ENSMYVG00000000041	ENSMYVT00000000061	ENSMYVP00000000053	GO:0005515
ENSMYVG00000000041	ENSMYVT00000000073	ENSMYVP00000000064	GO:0005515
ENSMYVG00000000042	ENSMYVT00000000055	ENSMYVP00000000047	GO:0002143
ENSMYVG00000000042	ENSMYVT00000000055	ENSMYVP00000000047	GO:0004792
ENSMYVG00000000042	ENSMYVT00000000055	ENSMYVP00000000047	GO:0005829
ENSMYVG00000000042	ENSMYVT00000000055	ENSMYVP00000000047	GO:0008641
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0004335
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0005524
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0005737
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0006012
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0016301
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0016773
ENSMYVG00000000043	ENSMYVT00000000057	ENSMYVP00000000049	GO:0046835
ENSMYVG00000000044			HGNC:7370
ENSMYVG00000000044	ENSMYVT00000000058	ENSMYVP00000000050	GO:0000049
ENSMYVG00000000044	ENSMYVT00000000058	ENSMYVP00000000050	GO:0002098
ENSMYVG00000000044	ENSMYVT00000000058	ENSMYVP00000000050	GO:0034227
ENSMYVG00000000045			HGNC:28639
ENSMYVG00000000045	ENSMYVT00000000060	ENSMYVP00000000052	GO:0016491
ENSMYVG00000000047			HGNC:29587
ENSMYVG00000000048			HGNC:10968
ENSMYVG00000000048	ENSMYVT00000000067	ENSMYVP00000000058	GO:0016020
ENSMYVG00000000048	ENSMYVT00000000067	ENSMYVP00000000058	GO:0022857
ENSMYVG00000000048	ENSMYVT00000000067	ENSMYVP00000000058	GO:0055085
ENSMYVG00000000048	ENSMYVT00000000082	ENSMYVP00000000072	GO:0022857
ENSMYVG00000000048	ENSMYVT00000000082	ENSMYVP00000000072	GO:0055085
ENSMYVG00000000049			HGNC:4313
ENSMYVG00000000049	ENSMYVT00000000066	ENSMYVP00000000057	GO:0004375
ENSMYVG00000000049	ENSMYVT00000000066	ENSMYVP00000000057	GO:0006544
ENSMYVG00000000049	ENSMYVT00000000066	ENSMYVP00000000057	GO:0006546
ENSMYVG00000000049	ENSMYVT00000000081	ENSMYVP00000000071	GO:0004375
ENSMYVG00000000049	ENSMYVT00000000081	ENSMYVP00000000071	GO:0006544
ENSMYVG00000000049	ENSMYVT00000000081	ENSMYVP00000000071	GO:0006546
ENSMYVG00000000050			HGNC:33146
ENSMYVG00000000052			HGNC:17162
ENSMYVG00000000052	ENSMYVT00000000072	ENSMYVP00000000063	GO:0003723
ENSMYVG00000000053	ENSMYVT00000000074	ENSMYVP00000000065	GO:0006044
ENSMYVG00000000053	ENSMYVT00000000074	ENSMYVP00000000065	GO:0008448
ENSMYVG00000000053	ENSMYVT00000000074	ENSMYVP00000000065	GO:0016787
ENSMYVG00000000053	ENSMYVT00000000074	ENSMYVP00000000065	GO:0016810
ENSMYVG00000000053	ENSMYVT00000000090	ENSMYVP00000000081	GO:0006044
ENSMYVG00000000053	ENSMYVT00000000090	ENSMYVP00000000081	GO:0008448
ENSMYVG00000000053	ENSMYVT00000000090	ENSMYVP00000000081	GO:0016787
ENSMYVG00000000053	ENSMYVT00000000090	ENSMYVP00000000081	GO:0016810
ENSMYVG00000000054	ENSMYVT00000000075	ENSMYVP00000000066	GO:0005515
ENSMYVG00000000054	ENSMYVT00000000075	ENSMYVP00000000066	GO:0006886
ENSMYVG00000000054	ENSMYVT00000000094	ENSMYVP00000000083	GO:0005515
ENSMYVG00000000054	ENSMYVT00000000094	ENSMYVP00000000083	GO:0006886
ENSMYVG00000000057	ENSMYVT00000000078	ENSMYVP00000000068	GO:0003735
ENSMYVG00000000057	ENSMYVT00000000078	ENSMYVP00000000068	GO:0005762
ENSMYVG00000000059	ENSMYVT00000000079	ENSMYVP00000000069	GO:0003676
ENSMYVG00000000059	ENSMYVT00000000079	ENSMYVP00000000069	GO:0004984
ENSMYVG00000000059	ENSMYVT00000000079	ENSMYVP00000000069	GO:0005549
ENSMYVG00000000059	ENSMYVT00000000079	ENSMYVP00000000069	GO:0007608
ENSMYVG00000000059	ENSMYVT00000000079	ENSMYVP00000000069	GO:0016020
ENSMYVG00000000059	ENSMYVT00000000095	ENSMYVP00000000084	GO:0004984
ENSMYVG00000000059	ENSMYVT00000000095	ENSMYVP00000000084	GO:0005549
ENSMYVG00000000059	ENSMYVT00000000095	ENSMYVP00000000084	GO:0007608
ENSMYVG00000000059	ENSMYVT00000000095	ENSMYVP00000000084	GO:0016020
ENSMYVG00000000061			HGNC:8021
ENSMYVG00000000062	ENSMYVT00000000086	ENSMYVP00000000076	GO:0006508
ENSMYVG00000000062	ENSMYVT00000000086	ENSMYVP00000000076	GO:0008237
ENSMYVG00000000062	ENSMYVT00000000086	ENSMYVP00000000076	GO:0008270
ENSMYVG00000000062	ENSMYVT00000000096	ENSMYVP00000000085	GO:0006508
ENSMYVG00000000062	ENSMYVT00000000096	ENSMYVP00000000085	GO:0008237
ENSMYVG00000000062	ENSMYVT00000000096	ENSMYVP00000000085	GO:0008270
ENSMYVG00000000064			HGNC:25948
ENSMYVG00000000066			HGNC:26565
ENSMYVG00000000067			HGNC:15606
ENSMYVG00000000069	ENSMYVT00000000101	ENSMYVP00000000089	GO:0003676
ENSMYVG00000000069	ENSMYVT00000000101	ENSMYVP00000000089	GO:0005515
ENSMYVG00000000069	ENSMYVT00000000118	ENSMYVP00000000104	GO:0003676
ENSMYVG00000000069	ENSMYVT00000000118	ENSMYVP00000000104	GO:0005515
ENSMYVG00000000070			ZDB-GENE-041221-3
ENSMYVG00000000071	ENSMYVT00000000102	ENSMYVP00000000090	GO:0004672
ENSMYVG00000000071	ENSMYVT00000000102	ENSMYVP00000000090	GO:0005524
ENSMYVG00000000071	ENSMYVT00000000102	ENSMYVP00000000090	GO:0006468
ENSMYVG00000000071	ENSMYVT00000000120	ENSMYVP00000000107	GO:0004672
ENSMYVG00000000071	ENSMYVT00000000120	ENSMYVP00000000107	GO:0005524
ENSMYVG00000000071	ENSMYVT00000000120	ENSMYVP00000000107	GO:0006468
ENSMYVG00000000072	ENSMYVT00000000105	ENSMYVP00000000093	GO:0004833
ENSMYVG00000000072	ENSMYVT00000000105	ENSMYVP00000000093	GO:0019441
ENSMYVG00000000072	ENSMYVT00000000105	ENSMYVP00000000093	GO:0020037
ENSMYVG00000000072	ENSMYVT00000000105	ENSMYVP00000000093	GO:0046872
ENSMYVG00000000072	ENSMYVT00000000117	ENSMYVP00000000103	GO:0004833
ENSMYVG00000000072	ENSMYVT00000000117	ENSMYVP00000000103	GO:0019441
ENSMYVG00000000072	ENSMYVT00000000117	ENSMYVP00000000103	GO:0020037
ENSMYVG00000000072	ENSMYVT00000000117	ENSMYVP00000000103	GO:0046872
ENSMYVG00000000073	ENSMYVT00000000104	ENSMYVP00000000092	GO:0003824
ENSMYVG00000000073	ENSMYVT00000000104	ENSMYVP00000000092	GO:0005524
ENSMYVG00000000073	ENSMYVT00000000104	ENSMYVP00000000092	GO:0005739
ENSMYVG00000000073	ENSMYVT00000000104	ENSMYVP00000000092	GO:0006099
ENSMYVG00000000073	ENSMYVT00000000104	ENSMYVP00000000092	GO:0046872
ENSMYVG00000000073	ENSMYVT00000000116	ENSMYVP00000000102	GO:0003824
ENSMYVG00000000073	ENSMYVT00000000116	ENSMYVP00000000102	GO:0005524
ENSMYVG00000000073	ENSMYVT00000000116	ENSMYVP00000000102	GO:0005739
ENSMYVG00000000073	ENSMYVT00000000116	ENSMYVP00000000102	GO:0006099
ENSMYVG00000000073	ENSMYVT00000000116	ENSMYVP00000000102	GO:0046872
ENSMYVG00000000075	ENSMYVT00000000107	ENSMYVP00000000095	GO:0005515
ENSMYVG00000000075	ENSMYVT00000000119	ENSMYVP00000000105	GO:0005515
ENSMYVG00000000075	ENSMYVT00000000128	ENSMYVP00000000113	GO:0005515
ENSMYVG00000000076	ENSMYVT00000000109	ENSMYVP00000000096	GO:0005783
ENSMYVG00000000076	ENSMYVT00000000123	ENSMYVP00000000109	GO:0005783
ENSMYVG00000000079			HGNC:19048
ENSMYVG00000000079	ENSMYVT00000000110	ENSMYVP00000000097	GO:0004672
ENSMYVG00000000079	ENSMYVT00000000110	ENSMYVP00000000097	GO:0005524
ENSMYVG00000000079	ENSMYVT00000000110	ENSMYVP00000000097	GO:0006468
ENSMYVG00000000082	ENSMYVT00000000113	ENSMYVP00000000099	GO:0008033
ENSMYVG00000000082	ENSMYVT00000000113	ENSMYVP00000000099	GO:0017150
ENSMYVG00000000082	ENSMYVT00000000113	ENSMYVP00000000099	GO:0046872
ENSMYVG00000000082	ENSMYVT00000000113	ENSMYVP00000000099	GO:0050660
ENSMYVG00000000082	ENSMYVT00000000129	ENSMYVP00000000114	GO:0008033
ENSMYVG00000000082	ENSMYVT00000000129	ENSMYVP00000000114	GO:0017150
ENSMYVG00000000082	ENSMYVT00000000129	ENSMYVP00000000114	GO:0046872
ENSMYVG00000000082	ENSMYVT00000000129	ENSMYVP00000000114	GO:0050660
ENSMYVG00000000083	ENSMYVT00000000114	ENSMYVP00000000100	GO:0004721
ENSMYVG00000000083	ENSMYVT00000000114	ENSMYVP00000000100	GO:0005515
ENSMYVG00000000083	ENSMYVT00000000114	ENSMYVP00000000100	GO:0005634
ENSMYVG00000000084			HGNC:14248
ENSMYVG00000000084	ENSMYVT00000000121	ENSMYVP00000000108	GO:0006508
ENSMYVG00000000084	ENSMYVT00000000121	ENSMYVP00000000108	GO:0008234
ENSMYVG00000000085			HGNC:23520
ENSMYVG00000000085	ENSMYVT00000000115	ENSMYVP00000000101	GO:0016020
ENSMYVG00000000085	ENSMYVT00000000115	ENSMYVP00000000101	GO:0022857
ENSMYVG00000000085	ENSMYVT00000000115	ENSMYVP00000000101	GO:0055085
ENSMYVG00000000092			HGNC:12713
ENSMYVG00000000092	ENSMYVT00000000131	ENSMYVP00000000116	GO:0003676
ENSMYVG00000000092	ENSMYVT00000000131	ENSMYVP00000000116	GO:0005515
ENSMYVG00000000092	ENSMYVT00000000131	ENSMYVP00000000116	GO:0006623
ENSMYVG00000000092	ENSMYVT00000000131	ENSMYVP00000000116	GO:0006886
ENSMYVG00000000092	ENSMYVT00000000131	ENSMYVP00000000116	GO:0016192
ENSMYVG00000000092	ENSMYVT00000000153	ENSMYVP00000000136	GO:0005515
ENSMYVG00000000092	ENSMYVT00000000153	ENSMYVP00000000136	GO:0006623
ENSMYVG00000000092	ENSMYVT00000000153	ENSMYVP00000000136	GO:0006886
ENSMYVG00000000092	ENSMYVT00000000153	ENSMYVP00000000136	GO:0016192
ENSMYVG00000000096	ENSMYVT00000000134	ENSMYVP00000000118	GO:0016746
ENSMYVG00000000097	ENSMYVT00000000136	ENSMYVP00000000120	GO:0005267
ENSMYVG00000000097	ENSMYVT00000000136	ENSMYVP00000000120	GO:0016020
ENSMYVG00000000097	ENSMYVT00000000136	ENSMYVP00000000120	GO:0071805
ENSMYVG00000000097	ENSMYVT00000000146	ENSMYVP00000000129	GO:0005267
ENSMYVG00000000097	ENSMYVT00000000146	ENSMYVP00000000129	GO:0016020
ENSMYVG00000000097	ENSMYVT00000000146	ENSMYVP00000000129	GO:0071805
ENSMYVG00000000098			HGNC:25941
ENSMYVG00000000098	ENSMYVT00000000139	ENSMYVP00000000123	GO:0005874
ENSMYVG00000000098	ENSMYVT00000000139	ENSMYVP00000000123	GO:0019799
ENSMYVG00000000098	ENSMYVT00000000139	ENSMYVP00000000123	GO:0071929
ENSMYVG00000000098	ENSMYVT00000000155	ENSMYVP00000000138	GO:0005874
ENSMYVG00000000098	ENSMYVT00000000155	ENSMYVP00000000138	GO:0019799
ENSMYVG00000000098	ENSMYVT00000000155	ENSMYVP00000000138	GO:0071929
ENSMYVG00000000100			ZDB-GENE-131120-173
ENSMYVG00000000100	ENSMYVT00000000138	ENSMYVP00000000122	GO:0005515
ENSMYVG00000000101			HGNC:5241
ENSMYVG00000000101	ENSMYVT00000000140	ENSMYVP00000000124	GO:0005524
ENSMYVG00000000101	ENSMYVT00000000140	ENSMYVP00000000124	GO:0140662
ENSMYVG00000000102	ENSMYVT00000000144	ENSMYVP00000000128	GO:0006508
ENSMYVG00000000102	ENSMYVT00000000144	ENSMYVP00000000128	GO:0046872
ENSMYVG00000000103			ZDB-GENE-030131-9638
ENSMYVG00000000103	ENSMYVT00000000142	ENSMYVP00000000126	GO:0004252
ENSMYVG00000000103	ENSMYVT00000000142	ENSMYVP00000000126	GO:0006508
ENSMYVG00000000104			ZDB-GENE-990415-88
ENSMYVG00000000108	ENSMYVT00000000147	ENSMYVP00000000130	GO:0005515
ENSMYVG00000000109	ENSMYVT00000000148	ENSMYVP00000000131	GO:0003677
ENSMYVG00000000109	ENSMYVT00000000148	ENSMYVP00000000131	GO:0003700
ENSMYVG00000000109	ENSMYVT00000000148	ENSMYVP00000000131	GO:0006355
ENSMYVG00000000109	ENSMYVT00000000156	ENSMYVP00000000139	GO:0003677
ENSMYVG00000000109	ENSMYVT00000000156	ENSMYVP00000000139	GO:0003700
ENSMYVG00000000109	ENSMYVT00000000156	ENSMYVP00000000139	GO:0006355
ENSMYVG00000000109	ENSMYVT00000000164	ENSMYVP00000000146	GO:0003677
ENSMYVG00000000109	ENSMYVT00000000164	ENSMYVP00000000146	GO:0003700
ENSMYVG00000000109	ENSMYVT00000000164	ENSMYVP00000000146	GO:0006355
ENSMYVG00000000111			ZDB-GENE-011018-2
ENSMYVG00000000111	ENSMYVT00000000152	ENSMYVP00000000135	GO:0005515
ENSMYVG00000000112			HGNC:29673
ENSMYVG00000000113			HGNC:16272
ENSMYVG00000000117			HGNC:16939
ENSMYVG00000000117	ENSMYVT00000000163	ENSMYVP00000000145	GO:0000398
ENSMYVG00000000117	ENSMYVT00000000163	ENSMYVP00000000145	GO:0030628
ENSMYVG00000000118			S000005307
ENSMYVG00000000118	ENSMYVT00000000162	ENSMYVP00000000144	GO:0003824
ENSMYVG00000000119			ZDB-GENE-030131-5552
ENSMYVG00000000119	ENSMYVT00000000169	ENSMYVP00000000151	GO:0006083
ENSMYVG00000000119	ENSMYVT00000000169	ENSMYVP00000000151	GO:0008410
ENSMYVG00000000119	ENSMYVT00000000169	ENSMYVP00000000151	GO:0008775
ENSMYVG00000000120			MGI:3030867
ENSMYVG00000000120	ENSMYVT00000000168	ENSMYVP00000000150	GO:0016409
ENSMYVG00000000124	ENSMYVT00000000175	ENSMYVP00000000156	GO:0003924
ENSMYVG00000000124	ENSMYVT00000000175	ENSMYVP00000000156	GO:0005525
ENSMYVG00000000124	ENSMYVT00000000181	ENSMYVP00000000161	GO:0003924
ENSMYVG00000000124	ENSMYVT00000000181	ENSMYVP00000000161	GO:0005525
ENSMYVG00000000124	ENSMYVT00000000195	ENSMYVP00000000174	GO:0003924
ENSMYVG00000000124	ENSMYVT00000000195	ENSMYVP00000000174	GO:0005525
ENSMYVG00000000125			HGNC:7593
ENSMYVG00000000125	ENSMYVT00000000176	ENSMYVP00000000157	GO:0005856
ENSMYVG00000000125	ENSMYVT00000000191	ENSMYVP00000000170	GO:0003774
ENSMYVG00000000125	ENSMYVT00000000191	ENSMYVP00000000170	GO:0005515
ENSMYVG00000000125	ENSMYVT00000000191	ENSMYVP00000000170	GO:0005524
ENSMYVG00000000125	ENSMYVT00000000191	ENSMYVP00000000170	GO:0005856
ENSMYVG00000000125	ENSMYVT00000000191	ENSMYVP00000000170	GO:0016459
ENSMYVG00000000125	ENSMYVT00000000209	ENSMYVP00000000187	GO:0003774
ENSMYVG00000000125	ENSMYVT00000000209	ENSMYVP00000000187	GO:0005515
ENSMYVG00000000125	ENSMYVT00000000209	ENSMYVP00000000187	GO:0005524
ENSMYVG00000000125	ENSMYVT00000000209	ENSMYVP00000000187	GO:0005856
ENSMYVG00000000125	ENSMYVT00000000209	ENSMYVP00000000187	GO:0016459
ENSMYVG00000000128			ZDB-GENE-050309-222
ENSMYVG00000000128	ENSMYVT00000000180	ENSMYVP00000000160	GO:0005515
ENSMYVG00000000128	ENSMYVT00000000196	ENSMYVP00000000175	GO:0005515
ENSMYVG00000000128	ENSMYVT00000000212	ENSMYVP00000000190	GO:0005515
ENSMYVG00000000128	ENSMYVT00000000229	ENSMYVP00000000205	GO:0005515
ENSMYVG00000000129			HGNC:15664
ENSMYVG00000000130			ZDB-GENE-040718-150
ENSMYVG00000000130	ENSMYVT00000000183	ENSMYVP00000000162	GO:0006511
ENSMYVG00000000130	ENSMYVT00000000192	ENSMYVP00000000171	GO:0006511
ENSMYVG00000000130	ENSMYVT00000000203	ENSMYVP00000000181	GO:0006511
ENSMYVG00000000134	ENSMYVT00000000188	ENSMYVP00000000167	GO:0005871
ENSMYVG00000000134	ENSMYVT00000000188	ENSMYVP00000000167	GO:0019894
ENSMYVG00000000134	ENSMYVT00000000205	ENSMYVP00000000183	GO:0005871
ENSMYVG00000000134	ENSMYVT00000000205	ENSMYVP00000000183	GO:0019894
ENSMYVG00000000135			HGNC:17311
ENSMYVG00000000135	ENSMYVT00000000189	ENSMYVP00000000168	GO:0008270
ENSMYVG00000000136			HGNC:6561
ENSMYVG00000000137	ENSMYVT00000000190	ENSMYVP00000000169	GO:0005524
ENSMYVG00000000137	ENSMYVT00000000190	ENSMYVP00000000169	GO:0006139
ENSMYVG00000000137	ENSMYVT00000000190	ENSMYVP00000000169	GO:0019205
ENSMYVG00000000137	ENSMYVT00000000200	ENSMYVP00000000178	GO:0005525
ENSMYVG00000000137	ENSMYVT00000000210	ENSMYVP00000000188	GO:0005524
ENSMYVG00000000137	ENSMYVT00000000210	ENSMYVP00000000188	GO:0005525
ENSMYVG00000000137	ENSMYVT00000000210	ENSMYVP00000000188	GO:0016887
ENSMYVG00000000137	ENSMYVT00000000222	ENSMYVP00000000199	GO:0005525
ENSMYVG00000000138	ENSMYVT00000000194	ENSMYVP00000000173	GO:0008194
ENSMYVG00000000138	ENSMYVT00000000201	ENSMYVP00000000179	GO:0008194
ENSMYVG00000000138	ENSMYVT00000000211	ENSMYVP00000000189	GO:0008194
ENSMYVG00000000139	ENSMYVT00000000193	ENSMYVP00000000172	GO:0016671
ENSMYVG00000000140			HGNC:10766
ENSMYVG00000000140	ENSMYVT00000000197	ENSMYVP00000000177	GO:0003676
ENSMYVG00000000140	ENSMYVT00000000197	ENSMYVP00000000177	GO:0005634
ENSMYVG00000000140	ENSMYVT00000000197	ENSMYVP00000000177	GO:0008270
ENSMYVG00000000142	ENSMYVT00000000202	ENSMYVP00000000180	GO:0005515
ENSMYVG00000000142	ENSMYVT00000000202	ENSMYVP00000000180	GO:0007165
ENSMYVG00000000142	ENSMYVT00000000208	ENSMYVP00000000186	GO:0005515
ENSMYVG00000000142	ENSMYVT00000000208	ENSMYVP00000000186	GO:0007165
ENSMYVG00000000143	ENSMYVT00000000204	ENSMYVP00000000182	GO:0004601
ENSMYVG00000000143	ENSMYVT00000000204	ENSMYVP00000000182	GO:0006979
ENSMYVG00000000143	ENSMYVT00000000204	ENSMYVP00000000182	GO:0020037
ENSMYVG00000000143	ENSMYVT00000000219	ENSMYVP00000000196	GO:0004601
ENSMYVG00000000143	ENSMYVT00000000219	ENSMYVP00000000196	GO:0006979
ENSMYVG00000000143	ENSMYVT00000000219	ENSMYVP00000000196	GO:0020037
ENSMYVG00000000143	ENSMYVT00000000234	ENSMYVP00000000210	GO:0004601
ENSMYVG00000000143	ENSMYVT00000000234	ENSMYVP00000000210	GO:0006979
ENSMYVG00000000143	ENSMYVT00000000234	ENSMYVP00000000210	GO:0020037
ENSMYVG00000000144			HGNC:25282
ENSMYVG00000000144	ENSMYVT00000000207	ENSMYVP00000000185	GO:0005254
ENSMYVG00000000147			HGNC:23387
ENSMYVG00000000147	ENSMYVT00000000231	ENSMYVP00000000207	GO:0035556
ENSMYVG00000000147	ENSMYVT00000000247	ENSMYVP00000000222	GO:0035556
ENSMYVG00000000149			HGNC:29528
ENSMYVG00000000149	ENSMYVT00000000218	ENSMYVP00000000195	GO:0046872
ENSMYVG00000000150			HGNC:16262
ENSMYVG00000000154	ENSMYVT00000000224	ENSMYVP00000000201	GO:0000981
ENSMYVG00000000154	ENSMYVT00000000224	ENSMYVP00000000201	GO:0003677
ENSMYVG00000000154	ENSMYVT00000000224	ENSMYVP00000000201	GO:0006355
ENSMYVG00000000157	ENSMYVT00000000236	ENSMYVP00000000211	GO:0016747
ENSMYVG00000000157	ENSMYVT00000000251	ENSMYVP00000000225	GO:0016747
ENSMYVG00000000159	ENSMYVT00000000233	ENSMYVP00000000209	GO:0000175
ENSMYVG00000000159	ENSMYVT00000000233	ENSMYVP00000000209	GO:0003676
ENSMYVG00000000160	ENSMYVT00000000237	ENSMYVP00000000213	GO:0004672
ENSMYVG00000000160	ENSMYVT00000000237	ENSMYVP00000000213	GO:0005524
ENSMYVG00000000160	ENSMYVT00000000237	ENSMYVP00000000213	GO:0006468
